[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[09:15:27 | 17-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:15:30 | 17-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:08:36 | 18-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x34f06f30fe7fe477d33635c5840144895286e43809f852c7dcfdfeb625efb671
[09:08:51 | 18-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf006620953a1426659f643870d82721c0821b39680d3643b203b0aa7f69b6c7d
[09:11:54 | 18-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:11:57 | 18-02-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:09:36 | 19-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x89240fc8a92c45c879ebc6d54162620d1e231592c3fb62537a83500204488602
[09:09:51 | 19-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc404dedc36cc756bdccf9565630e7c108c1953f5adf55a943c4c3a783deb3588
[09:12:54 | 19-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:12:57 | 19-02-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:09:54 | 20-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x4e5d1f00b70617ba5aa9c848da8572ef0857f9b2ddfc1428ccba17090df8a1f7
[09:10:03 | 20-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7d132eb729aef4c77bce071a782ce3fa47bdb8c01733b280a191b4f21b891a67
[09:13:06 | 20-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:13:09 | 20-02-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:10:21 | 21-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x915b60ae2710f6605e51a504b2a560fc71cd0066b08005f572ad0727f7173e4f
[09:10:38 | 21-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x53cba2094385bc90431ba3bb37e39c6ddc6c5b82447e671b0104897f0773434c
[09:13:41 | 21-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:13:43 | 21-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:06:40 | 22-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x4f6fa42749c0b02454701f03b79930a977db3d53e52ef564edad20ab9dad08b3
[09:09:43 | 22-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:09:46 | 22-02-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:15:07 | 23-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x90008daaa088276ccd5bdcba9f0cbf11613d266546f83b4b449f3805b2bbaa0d
[09:15:15 | 23-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xcca715a1cb654052bcb6e0515030b6889e0b09a5ad5f6e306ccb162047930b5f
[09:18:18 | 23-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:18:21 | 23-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:14:15 | 24-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x048c40a6db541d3172623151bcae9fcc8255cbec3b7f9a139faa79f285b27244
[09:14:27 | 24-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x0f3ca2af005abd547693bbb8817e4105fa033ca46dad9357bb1bb8c38d1253c7
[09:17:31 | 24-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:34 | 24-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:12:27 | 25-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x243e32fc2635809987fd963f6e03b8dd2aa18d73d2ee5dcfc0c31e2679919ac1
[09:15:30 | 25-02-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:15:33 | 25-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:12:09 | 26-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x161d6bad45983c7bea94b9e32d2daf137576599133c1802f27bee0dbef600f2d
[09:12:26 | 26-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf9274d30539a42f4bf3b37cf5b29cd33ee4c42ac9246f32e94bc87e472415426
[09:15:29 | 26-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:15:32 | 26-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:13:08 | 27-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xad48659af0b8c6f0cf12cba7cf052baece180bab6ec8b8e56990a48b0ae55aed
[09:13:27 | 27-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xa3d957b11201504ef5b46e66d3b622e2bb312ccc449d4cb4b50576f41d7b4292
[09:16:30 | 27-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:16:33 | 27-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:13:46 | 28-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xbb63f6431a4305b0c847c91f4dd003998b5d0eeca43f8ca9e10a107d0062fd28
[09:14:02 | 28-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc596416dd03a7e8d8ddfc0f8a0ce9b0ed0ab88716b2c286d28f2c1a01d209f8f
[09:17:05 | 28-02-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:08 | 28-02-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:50 | 01-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x61b4965877b0ef452a70b8db397fc61d970e89c9e125e00b4a62e1ffa0d91a68
[09:18:01 | 01-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x2524324494c2e16ba0f975074a6f61e8627586ff0522d9082fabce3637023383
[09:21:05 | 01-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:21:08 | 01-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:16:37 | 02-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x8f036c190eee77e41d0b8b5654c4cf517cdedc85bf0d682c308343bb9ffeda37
[09:16:50 | 02-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xea5a358ded887554e83c3c92cada1ec2e94e397d3ca7bf2d8d73776b24ebf7a6
[09:19:53 | 02-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:19:56 | 02-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:15:13 | 03-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x29bc3b1f8f28206a6ea9cdaccd74c6c9e4191573c30fc8461dc93f1d5d87170d
[09:15:38 | 03-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x3ef5a3a5daaacf3aba6f128c1e33d518767911d3a6f4caaa4732ca2d948eba06
[09:18:41 | 03-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:18:44 | 03-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:14:29 | 04-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x93b7b2a6b1fd18ced2b08bfcded340faa9911975ebc474c68aeacd1dc2fa3d04
[09:14:49 | 04-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xfab0eccd28e28039bfecfa971f8ecbf8b1139fd7a8459cf14913594058099fd4
[09:17:52 | 04-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:55 | 04-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:14:22 | 05-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x0dbfa771264b351e8a90b1ff5f2f4d96757ccdbda689f792752ccb9b3139e807
[09:14:37 | 05-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6a8bb9fb17cf375d75df67322e6115b41540fd0a1315d5f17d15b1171e01266c
[09:17:40 | 05-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:43 | 05-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:14:25 | 06-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x9a0df45c62830c8574a9ca113622e9d602f6c7aef0269c90dcdca61cb7a43d91
[09:14:40 | 06-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x40ada4ad27ff2b1f97ca5001b22a8567c21de49c90d98178e342d591c6ef3082
[09:17:44 | 06-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:17:47 | 06-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:15:23 | 07-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xa82efe5e66885bfc8a3e87546f7548ee4ed29ec78aaca69450dc3c5c1d3cf4b4
[09:15:38 | 07-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x5016e5307c06b4a9c59c008cd9c2264b8d208ce7793c38042872d4e17375b337
[09:18:42 | 07-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:18:45 | 07-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[08:45:02 | 08-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xdf94c2326826db41da79515875bbd41cfa52a479677017c008fdea69f1d755e5
[08:45:15 | 08-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xa928205927d128d6d834d2e1a6c884e70182186601c3ebfeba47b91f37242191
[08:48:18 | 08-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[08:48:21 | 08-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[08:55:29 | 09-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x85296a5b10c4c5e0325906e806271d6dd2ad7a7002fd869d95c7dbe3fe7e277e
[08:55:40 | 09-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xe1fd6dfde28a3ef8de8b0c3cf5a87878651b8d3ec208971d859b96d452665401
[08:58:43 | 09-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[08:58:46 | 09-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[08:57:27 | 10-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xadea17caae276cef77b69466be885fbed2a88823034b32547e971387653ab15d
[08:57:38 | 10-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xd0ec3c0d761fa1f5b74dc47d8ccc90c3ed4d8f1da3ce90f8711f406f6ec86ca5
[09:00:42 | 10-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:00:45 | 10-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:15:19 | 11-03-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xd51effcdd3170724d481c0926f84f149940089e7a9a0ad2582203de28863b22a
[09:15:40 | 11-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x735ebd07c8cc04a52b61a7c3bf3e974e0303d34d428cf01ab43c4b4c6ed29228
[09:18:43 | 11-03-2025] Transfer Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
[09:18:46 | 11-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:14:25 | 12-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xefef1b1cc2eb951b6e9bc7fcb60116b57aee2e78ad42a23288cd13531b03537d
[09:17:28 | 12-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:17:31 | 12-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:16:01 | 13-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6327ab4de2ccd9f3a9e36c7101b1a81b9dd711b719780616ca72d0029ce1396d
[09:19:04 | 13-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:19:07 | 13-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:14:40 | 14-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xd1d54c668050c6daa518e69fe1461fed4e0053f31f2c66126d5fe08b7f05cdd5
[09:17:43 | 14-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:17:46 | 14-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:12:37 | 15-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x25480456426153f971ca07c1824c95782b7104b3742446d06d9225b919781bae
[09:15:40 | 15-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:15:43 | 15-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:21:13 | 16-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xdfe87bd0924fb457da90820a502f0d0d36402d4d0282565f0fa34d7796c85e6d
[09:24:16 | 16-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:24:19 | 16-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:18 | 17-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x23f6a774d0cdddec78d2984bf2ac41586807f98a953d1c0cf6e47b0d0d5e808a
[09:21:21 | 17-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:24 | 17-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:17:39 | 18-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x903b74b25b37c86c6606b887e58eeb4230133539056564cff92245519c7b431e
[09:20:42 | 18-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:20:45 | 18-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:16:50 | 19-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf068eb0f1a48f813c381f21060a406180f229673a2afa89612fd3cb5eaeef14b
[09:19:53 | 19-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:19:56 | 19-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:15:50 | 20-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x143324bc9c19fc1bef393cc29580ff39c3eafb6204901d6a50a4e063d8903662
[09:18:53 | 20-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:18:56 | 20-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:17:38 | 21-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xdb5d1216eb5c31fdd806418b38b3b17a643ffa6a08bf46cd714e51cbaf871946
[09:20:42 | 21-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:20:45 | 21-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:19:02 | 22-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x223d397bd45f3245c8f7653fa2e5a25c0652f17834d7d3bcab46fd33ff0e0782
[09:22:05 | 22-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:22:07 | 22-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:22:52 | 23-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xbffec7970a835e77de4e976710e200bb88c90554d6e3d7e55bad67796a7e1ccb
[09:25:55 | 23-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:25:58 | 23-03-2025] Bridge Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
Error:
[09:20:51 | 24-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x8eae80c5230359c6decef2a539eb20875a7de0c9df433924f2b67d268a325cdc
[09:23:54 | 24-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:23:57 | 24-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:28 | 25-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x52be7fb53e39cc7287583eae59569edaacfdc47f3df44e2b2f665640f1402e89
[09:21:31 | 25-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:35 | 25-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:17:36 | 26-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x1d3b069509a4b31c5772e806f79a0a3bb750f829ad2fe275f9a24f4c3f548c99
[09:20:40 | 26-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:20:43 | 26-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:17:53 | 27-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xe7e2b7fa434df8ccae6f2e6bd6b6a9ce63ed54ad0e5f4e8fe444fe96a650ba93
[09:20:56 | 27-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:20:59 | 27-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:19:15 | 28-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x24dbf1495670956098e37f413392a863d8b149f18b25c95090807123377be70e
[09:22:19 | 28-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:22:22 | 28-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:15:51 | 29-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x0f10a66e0882ad8e9ee35588cf23b39bb74259d2765fd4506f5af39612ec5809
[09:18:54 | 29-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:18:57 | 29-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:24:42 | 30-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xfa5f9668071ed96ed69a93acd34894c9407d6f519360b3f61f6af46d2ac965bb
[09:27:45 | 30-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:27:47 | 30-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:23:51 | 31-03-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xc07706a64a35252968ea78d29690f625341281984d9212fbe73d8e4ee4881ccf
[09:26:54 | 31-03-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:26:57 | 31-03-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:30:16 | 01-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x77f3f96eb7acf7aa09661b1013e3409a65c50cc6a07f320771305e209c6f4e52
[09:33:20 | 01-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:33:23 | 01-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:20:03 | 02-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6cd7f068266e71005b07faf445677427b033c939551916119b31869900f3905f
[09:23:07 | 02-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:23:10 | 02-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:49 | 03-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x9c28870b69a3b22cb3125e3aaa74cef8fcdd1220f0f8207508b61dd427c7700e
[09:21:52 | 03-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:55 | 03-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
[09:18:37 | 04-04-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x8e5cbb2c3ee2ba8a42cbab8d1cad1cdf670ed2211610cd9f09bd42c2cc06b31a
[09:21:40 | 04-04-2025] Transfer Task failed for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD: Request failed with status code 400
[09:21:43 | 04-04-2025] Bridge Task successful for 0xeD7ef49f144B4A07Af0B3Fe1ef54b07c6409ecDD
Error:
